衡量行业,颜色,市场,ETF代码,ETF名称,分类依据
消费,#EA580C,SH,563850,食品广发,名称关键词
消费,#EA580C,SZ,159007,养殖ETF华泰柏瑞,名称关键词
消费,#EA580C,SZ,159011,养殖ETF华安,名称关键词
消费,#EA580C,SZ,159020,养殖ETF易方达,名称关键词
消费,#EA580C,SZ,159023,养殖ETF万家,名称关键词
消费,#EA580C,SZ,159027,畜牧养殖ETF大成,名称关键词
消费,#EA580C,SZ,159043,食品ETF华安,名称关键词
消费,#EA580C,SZ,159151,食品ETF华夏,名称关键词
消费,#EA580C,SZ,159165,养殖ETF永赢,名称关键词
消费,#EA580C,SZ,159172,养殖ETF汇添富,名称关键词
消费,#EA580C,SZ,159176,家电ETF华宝,名称关键词
消费,#EA580C,SZ,159182,家电ETF南方,名称关键词
消费,#EA580C,SZ,159192,家电ETF汇添富,名称关键词
消费,#EA580C,SZ,159328,家电ETF易方达,名称关键词
消费,#EA580C,SZ,159520,消费龙头ETF工银,名称关键词
消费,#EA580C,SZ,159670,消费50ETF国联安,名称关键词
消费,#EA580C,SZ,159672,消费ETF博时,名称关键词
消费,#EA580C,SZ,159689,消费ETF南方,名称关键词
消费,#EA580C,SZ,159725,线上消费ETF工银,名称关键词
消费,#EA580C,SZ,159728,在线消费ETF南方,名称关键词
消费,#EA580C,SZ,159730,家电ETF博时,名称关键词
消费,#EA580C,SZ,159736,食品饮料ETF天弘,名称关键词
消费,#EA580C,SZ,159766,旅游ETF富国,人工映射
消费,#EA580C,SZ,159793,线上消费ETF平安,名称关键词
消费,#EA580C,SZ,159798,消费ETF易方达,名称关键词
消费,#EA580C,SZ,159843,食品饮料ETF招商,名称关键词
消费,#EA580C,SZ,159862,食品饮料ETF银华,名称关键词
消费,#EA580C,SZ,159865,养殖ETF国泰,名称关键词
消费,#EA580C,SZ,159867,养殖ETF鹏华,名称关键词
消费,#EA580C,SZ,159928,消费ETF汇添富,人工映射
消费,#EA580C,SZ,159936,可选消费ETF广发,名称关键词
消费,#EA580C,SZ,159996,家电ETF国泰,名称关键词
科技,#2563EB,SH,512480,半导体,人工映射
科技,#2563EB,SH,512720,计算机,名称关键词
科技,#2563EB,SH,512760,芯片ETF,名称关键词
科技,#2563EB,SH,512930,AIETF,名称关键词
科技,#2563EB,SH,512980,传媒ETF,名称关键词
科技,#2563EB,SH,513040,HK互联网,名称关键词
科技,#2563EB,SH,513220,互联网30,名称关键词
科技,#2563EB,SH,513310,中韩芯片,名称关键词
科技,#2563EB,SH,515070,AI智能,名称关键词
科技,#2563EB,SH,515230,软件ETF,名称关键词
科技,#2563EB,SH,515260,电子ETF,名称关键词
科技,#2563EB,SH,515320,电子50,名称关键词
科技,#2563EB,SH,515400,大数据,名称关键词
科技,#2563EB,SH,515880,通信ETF,名称关键词
科技,#2563EB,SH,515980,人工智能,名称关键词
科技,#2563EB,SH,516350,芯片50,名称关键词
科技,#2563EB,SH,516510,云计算,名称关键词
科技,#2563EB,SH,516630,云计算50,名称关键词
科技,#2563EB,SH,516640,芯片龙头,名称关键词
科技,#2563EB,SH,516920,芯片基金,名称关键词
科技,#2563EB,SH,517050,互联网50,名称关键词
科技,#2563EB,SH,517130,云计算JS,名称关键词
科技,#2563EB,SH,517200,互联网,名称关键词
科技,#2563EB,SH,517230,云计算MW,名称关键词
科技,#2563EB,SH,517390,云计算AH,名称关键词
