market,code,name,industry,plot_industry,classification_rule
SH,513090,香港证券,,金融,名称关键词
SH,511380,转债ETF,,债券/货币,固定类别/排除词
SH,511580,国债政金,,债券/货币,固定类别/排除词
SH,512330,信息ETF,,待人工确认,名称关键词
SH,512290,生物医药,,医药医疗,名称关键词
SZ,159981,能源化工ETF建信,,资源周期,名称关键词
SH,512260,500低波,,策略类,固定类别/排除词
SH,512250,A50指数E,,宽基/综合指数,宽基关键词/人工映射
SH,512240,A50龙头,,宽基/综合指数,宽基关键词/人工映射
SH,512220,TMTETF,,待人工确认,名称关键词
SH,512200,地产ETF,,地产基建,名称关键词
SH,512190,之江凤凰,,待人工确认,名称关键词
SH,512180,建信MSCI,,港股/海外,固定类别/排除词
SH,512170,医疗ETF,,医药医疗,名称关键词
SH,510760,上证ETF,,待人工确认,名称关键词
SH,512160,MSCI基金,,港股/海外,固定类别/排除词
SH,512150,A50ETF,,宽基/综合指数,宽基关键词/人工映射
SH,511520,政金债,,债券/货币,固定类别/排除词
SZ,159982,中证500ETF鹏华,,宽基/综合指数,宽基关键词/人工映射
SH,512130,现金全指,,债券/货币,固定类别/排除词
SH,512120,医药50,,医药医疗,名称关键词
SH,512100,1000ETF,,待人工确认,名称关键词
SH,512090,MSCI易基,,港股/海外,固定类别/排除词
SH,512080,A500中金,,宽基/综合指数,宽基关键词/人工映射
SH,512070,证券保险,,金融,名称关键词
SH,512060,A100指基,,待人工确认,名称关键词
SH,512050,A500E,,宽基/综合指数,宽基关键词/人工映射
SH,512040,国信价值,,策略类,固定类别/排除词
SZ,159985,豆粕ETF华夏,,商品,固定类别/排除词
SH,512030,A50增,,宽基/综合指数,宽基关键词/人工映射
SH,512020,A500,,宽基/综合指数,宽基关键词/人工映射
SH,512010,医药ETF,,医药医疗,名称关键词
SH,512000,券商ETF,金融,金融,人工映射
SH,512140,电力事业,,公用事业,名称关键词
SH,515770,MSCIAETF,,港股/海外,固定类别/排除词
SH,513100,纳指ETF,,港股/海外,固定类别/排除词
SH,513120,HK创新药,,医药医疗,名称关键词
SH,515290,银行,,金融,名称关键词
SH,515260,电子ETF,,科技,名称关键词
SH,515250,智能汽车,,汽车,名称关键词
SZ,159964,创业板ETF平安,,宽基/综合指数,宽基关键词/人工映射
SH,515230,软件ETF,,科技,名称关键词
SH,515220,煤炭ETF,,资源周期,名称关键词
SH,515210,钢铁ETF,,资源周期,名称关键词
SH,515200,创新100,,待人工确认,名称关键词
SH,515190,BOCI500,,待人工确认,名称关键词
SH,515180,100红利,红利策略,策略类,固定类别/排除词
SH,515170,食品饮料,,消费,名称关键词
SH,515160,MSCI招商,,港股/海外,固定类别/排除词
SH,515150,国企富国,,待人工确认,名称关键词
SH,515130,HS300E,,待人工确认,名称关键词
SZ,159965,央视50ETF国联,,待人工确认,名称关键词
SH,515120,创新药,,医药医疗,名称关键词
SH,515110,国企方达,,待人工确认,名称关键词
SH,515100,红利100,,策略类,固定类别/排除词
SH,515090,可持续,,待人工确认,名称关键词
SH,515080,中证红利,,宽基/综合指数,宽基关键词/人工映射
SH,515070,AI智能,,科技,名称关键词
SH,515060,华夏地产,,地产基建,名称关键词
SH,515050,5GETF,,待人工确认,名称关键词
SH,515040,工业金属,,待人工确认,名称关键词
SH,515030,新汽车,新能源,新能源,人工映射
SZ,159966,创业板价值ETF华夏,,宽基/综合指数,宽基关键词/人工映射
SH,515020,银行指数,,金融,名称关键词
SH,510660,医药行业,,医药医疗,名称关键词
SH,515010,华夏证券,,金融,名称关键词
SH,515300,红利300,,策略类,固定类别/排除词
SH,515310,添富300,,待人工确认,名称关键词
SH,515320,电子50,,科技,名称关键词
SH,510650,金融行业,,金融,名称关键词
SH,510630,消费30,,消费,名称关键词
SH,515750,科技50,,待人工确认,名称关键词
SH,515730,家居家电,,消费,名称关键词
SH,515720,金科富国,,待人工确认,名称关键词
SZ,159959,央企ETF银华,,区域主题,固定类别/排除词
SH,515710,食品ETF,,消费,名称关键词
SH,515700,新能车,,待人工确认,名称关键词
SH,515680,创新央企,,区域主题,固定类别/排除词
SH,515660,沪深300E,,宽基/综合指数,宽基关键词/人工映射
SH,515650,消费50,,消费,名称关键词
SH,515640,家电指数,,消费,名称关键词
SH,515630,保险证券,,金融,名称关键词
SH,515600,央企创新,,区域主题,固定类别/排除词
SH,515590,500ETFEW,,待人工确认,名称关键词
SH,515000,科技ETF,,待人工确认,名称关键词
SZ,159960,恒生中国企业ETF平安,,港股/海外,固定类别/排除词
SH,515560,证券E,,金融,名称关键词
SH,515550,国联500,,待人工确认,名称关键词
SH,515530,泰康500,,待人工确认,名称关键词
SH,515480,红利一百,,策略类,固定类别/排除词
SH,515460,质量红利,,策略类,固定类别/排除词
SH,515450,红利50,,策略类,固定类别/排除词
SH,515400,大数据,,科技,名称关键词
SH,515390,HS300,,待人工确认,名称关键词
SH,515380,泰康300,,待人工确认,名称关键词
SZ,159961,深100ETF方正富邦,,待人工确认,名称关键词
SH,515370,中证光伏,,新能源,名称关键词
SH,515360,方正300,,待人工确认,名称关键词
SH,515350,民生300,,待人工确认,名称关键词
SH,515330,天弘300,,待人工确认,名称关键词
SH,515580,中证科技,,待人工确认,名称关键词
SH,513990,港股通综,,港股/海外,固定类别/排除词
SH,513980,科技港股,,港股/海外,固定类别/排除词
SH,513970,恒生消费,,港股/海外,固定类别/排除词
SH,513520,日经ETF,,港股/海外,固定类别/排除词
SH,513500,标普500,,港股/海外,固定类别/排除词
SZ,159970,深100ETF工银,,待人工确认,名称关键词
SH,513400,道琼斯,,待人工确认,名称关键词
SH,513390,纳指基金,,港股/海外,固定类别/排除词
SH,513380,科技恒生,,港股/海外,固定类别/排除词
SH,513360,教育ETF,,待人工确认,名称关键词
SH,513350,油气ETF,,资源周期,名称关键词
SH,513330,恒生互联,,港股/海外,固定类别/排除词
SH,513320,HK新经济,,待人工确认,名称关键词
SH,513310,中韩芯片,,科技,名称关键词
SH,513300,纳斯达克,,待人工确认,名称关键词
SZ,159971,创业板ETF富国,,宽基/综合指数,宽基关键词/人工映射
SH,513290,纳指生物,,港股/海外,固定类别/排除词
SH,513530,港股红利,,港股/海外,固定类别/排除词
SH,513280,恒生生物,,港股/海外,固定类别/排除词
SH,513240,港信息,,待人工确认,名称关键词
SH,513230,H股消费,,港股/海外,固定类别/排除词
SH,513220,互联网30,,科技,名称关键词
SH,513210,恒生E,,港股/海外,固定类别/排除词
SH,513200,港股医药,,港股/海外,固定类别/排除词
SH,510680,万家50,,待人工确认,名称关键词
SH,513190,H股金融,,港股/海外,固定类别/排除词
SH,513180,恒指科技,,待人工确认,名称关键词
SZ,159972,5年地方债ETF鹏华,,债券/货币,固定类别/排除词
SH,513170,恒生央企,,港股/海外,固定类别/排除词
SH,513160,科技30,,待人工确认,名称关键词
SH,513150,港科技50,,待人工确认,名称关键词
SH,513140,港股金融,,港股/海外,固定类别/排除词
SH,513130,恒生科技,,港股/海外,固定类别/排除词
SH,513260,恒科技,,待人工确认,名称关键词
SH,513110,纳指100,,港股/海外,固定类别/排除词
SH,513550,港股通50,,港股/海外,固定类别/排除词
SH,513580,HS科技,,待人工确认,名称关键词
SH,513950,恒生红利,,港股/海外,固定类别/排除词
SH,513930,香港生科,,待人工确认,名称关键词
SH,513920,央企40,,区域主题,固定类别/排除词
SH,513910,红利央企,,区域主题,固定类别/排除词
SZ,159967,创业板成长ETF华夏,,宽基/综合指数,宽基关键词/人工映射
SH,513900,港股100,,港股/海外,固定类别/排除词
SH,513890,HK科技,,待人工确认,名称关键词
SH,513880,日经225,,港股/海外,固定类别/排除词
